docket_id,case_name,docket_number,pacer_case_id,slug,absolute_url,court_id,cause,nature_of_suit,jurisdiction_type,date_filed,date_terminated,date_last_filing,assigned_to_str,referred_to_str,jury_demand,idb_disposition,idb_judgment,idb_procedural_progress,idb_nature_of_suit,idb_monetary_demand,idb_pro_se,idb_class_action,idb_origin,idb_jury_demand,has_opinions,scrape_status,scraped_at
76,Abu Nahl v. Abou Jaoude,19-210,,abu-nahl-v-abou-jaoude,/docket/76/abu-nahl-v-abou-jaoude/,ca2,,3470 STATUTES-RICO,,2019-01-18,2019-02-05,,,,,,,,,,,,,,1,done,2026-04-09 20:22:01
1005,SEC v. Zandford,01-147,,sec-v-zandford,/docket/1005/sec-v-zandford/,scotus,,,,,,,,,,,,,,,,,,,1,done,2026-04-09 20:22:11
1247,Kenney v. State Street Corp.,1:09-CV-10750-PBS,,kenney-v-state-street-corp,/docket/1247/kenney-v-state-street-corp/,mad,,,,,,,,,,,,,,,,,,,1,done,2026-04-09 20:22:20
1349,"Transamerica Mortgage Advisors, Inc. v. Lewis",77-1645,,transamerica-mortgage-advisors-inc-v-lewis,/docket/1349/transamerica-mortgage-advisors-inc-v-lewis/,scotus,,,,,,,,,,,,,,,,,,,1,done,2026-04-09 20:22:34
1806,Cabot Corp. v. Baddour,,,cabot-corp-v-baddour,/docket/1806/cabot-corp-v-baddour/,mass,,,,,,,,,,,,,,,,,,,1,done,2026-04-09 20:22:42
1816,SEC v. Tambone,Civil Action 06-10885-NMG,,sec-v-tambone,/docket/1816/sec-v-tambone/,mad,,,,,,,,,,,,,,,,,,,1,done,2026-04-09 20:22:51
2690,Ransmeier v. UAL Corporation,11-175,,ransmeier-v-ual-corporation,/docket/2690/ransmeier-v-ual-corporation/,ca2,,3310 TORTS INJURY-Airplane,,2011-01-13,2012-06-26,,,,,,,,,,,,,,1,done,2026-04-09 20:23:03
2850,"Sprangers v. Interactive Technologies, Inc.",C3-85-2358,,sprangers-v-interactive-technologies-inc,/docket/2850/sprangers-v-interactive-technologies-inc/,minnctapp,,,,,,,,,,,,,,,,,,,1,done,2026-04-09 20:23:13
2879,SEC v. Druffner,Civil Action 03-12154-NMG,,sec-v-druffner,/docket/2879/sec-v-druffner/,mad,,,,,,,,,,,,,,,,,,,1,done,2026-04-09 20:23:22
3686,United States v. FEEBACK,2:04-cr-00559,167902,united-states-v-feeback,/docket/3686/united-states-v-feeback/,njd,,,,2004-08-02,2005-08-24,2005-09-21,,,,,,,,,,,,,1,done,2026-04-09 20:23:31
3695,Baughman v. Goggins,19-1306,,baughman-v-goggins,/docket/3695/baughman-v-goggins/,ca10,,3550 Prisoner - Civil Rights,,2019-08-27,,,,,,,,,,,,,,,1,done,2026-04-09 20:23:40
4196,United States v. Jose Cordero,18-10837,,united-states-v-jose-cordero,/docket/4196/united-states-v-jose-cordero/,ca11,,,,2018-03-05,,,,,,,,,,,,,,,1,done,2026-04-09 20:23:52
4346,McKinney v. Progressive Direct Insurance,19-6127,,mckinney-v-progressive-direct-insurance,/docket/4346/mckinney-v-progressive-direct-insurance/,ca10,,4110 Insurance,,2019-08-29,,,,,,,,,,,,,,,1,done,2026-04-09 20:24:03
4544,In Re Enron Corporation Securities,"MDL-1446. Civil Action Nos. H-01-3624, H-02-4788",,in-re-enron-corporation-securities,/docket/4544/in-re-enron-corporation-securities/,txsd,,,,,,,,,,,,,,,,,,,1,done,2026-04-09 20:24:12
4798,State v. Larsen,920114,,state-v-larsen,/docket/4798/state-v-larsen/,utah,,,,,,,,,,,,,,,,,,,1,done,2026-04-09 20:24:23
5400,Ohio Kentucky Oil Corp. v. Nolfi,2013CA00084,,ohio-kentucky-oil-corp-v-nolfi,/docket/5400/ohio-kentucky-oil-corp-v-nolfi/,ohioctapp,,,,,,,,,,,,,,,,,,,1,done,2026-04-09 20:24:31
5713,United States v. Victor Castano,19-1028,130066,united-states-v-victor-castano,/docket/5713/united-states-v-victor-castano/,ca6,,,,2019-01-07,,,,,,,,,,,,,,,1,done,2026-04-09 20:24:43
5848,Convergys Corporation v. Hogan,1:04-cv-00575,96762,convergys-corporation-v-hogan,/docket/5848/convergys-corporation-v-hogan/,ohsd,,190 Other contract actions,Diversity of citizenship,2004-08-26,2004-12-15,2004-12-14,Sandra S Beckwith,Timothy S. Black,,13,,3,190,75.0,0,,1,,1,done,2026-04-09 20:24:51
8175,Cory v. Stewart,19-10622,,cory-v-stewart,/docket/8175/cory-v-stewart/,ca5,,"3850 Securities, Commodities, Exchange",,2019-05-31,,,,,,,,,,,,,,,1,done,2026-04-09 20:25:03
9317,"TRUSTCASH HOLDINGS, INC. v. Moss",Civ. 08-5284 (WHW),,trustcash-holdings-inc-v-moss,/docket/9317/trustcash-holdings-inc-v-moss/,njd,,,,,,,,,,,,,,,,,,,1,done,2026-04-09 13:30:37
9612,Protective Committee v. Anderson,38,,protective-committee-v-anderson,/docket/9612/protective-committee-v-anderson/,scotus,,,,,,,,,,,,,,,,,,,1,done,2026-04-09 20:25:58
