id,docket_id,entry_id,entry_number,date_filed,description
1,2342265,386398615,3,2009-01-28,"Arrest Warrant Issued in case as to Victor Carranza. (tllsl, ) (Entered: 01/29/2009)"
2,2342265,386398612,1,2009-01-28,"COMPLAINT as to Liz Minerva Carranza (1), Victor Carranza (2). (Attachments: # 1 Criminal Information Sheet Liz Minerva Carranza, # 2 Criminal Information Sheet Victor Carranza) (tllsl, ) (Entered: 01/29/2009)"
3,2342265,386398614,2,2009-01-28,"Arrest Warrant Issued in case as to Liz Minerva Carranza. (tllsl, ) (Entered: 01/29/2009)"
4,2342265,386398617,4,2009-01-30,"Minute Entry for proceedings held before Magistrate Judge Craig B Shaffer: Initial Appearance as to Liz Minerva Carranza held on 1/30/2009. Federal Public Defender appointed. Added attorney Tim Neff for USA. Detention and Preliminary Examination set for 2/4/2009 10:30 AM in Courtroom A401 before Magistrate Judge Boyd N. Boland. Defendant remanded. (Tape #FTR CBS PM.) (lab, ) (Entered: 02/02/2009)"
5,2342265,386398618,5,2009-01-30,"Sealed Document-Financial Affidavit (lab, ) (Entered: 02/02/2009)"
6,2342265,386398621,7,2009-02-02,"Arrest Warrant Returned Executed on 1/30/09 in case as to Liz Minerva Carranza. (lab, ) (Entered: 02/03/2009)"
7,2342265,386398620,6,2009-02-02,"NOTICE OF ATTORNEY APPEARANCE: Brian Rowland Leedy appearing for Liz Minerva Carranza (Leedy, Brian) (Entered: 02/02/2009)"
8,2342265,386398625,12,2009-02-04,"Unsecured Bond Entered as to Liz Minerva Carranza in amount of $25,000 (lab, ) (Entered: 02/05/2009)"
9,2342265,386398622,10,2009-02-04,"Minute Entry for proceedings held before Magistrate Judge Boyd N. Boland: Detention and Preliminary Examination as to Liz Minerva Carranza held on 2/4/2009; defendant waives preliminary hearing; waiver accepted; Government is no longer seeking detention; Bond set as to Liz Minerva Carranza (1) $25,000 Unsecured with the conditions as set forth in the Order Setting Conditions Of Release; Status Conference set for 3/5/2009 10:00 AM in Courtroom A502 before Magistrate Judge Michael J. Watanabe. Defendant remanded for release. (Tape #FTR BNB AM.) (lab, ) (Entered: 02/05/2009)"
10,2342265,386398624,11,2009-02-04,"WAIVER of Preliminary Hearing by Liz Minerva Carranza (lab, ) (Entered: 02/05/2009)"
11,2342265,386398626,13,2009-02-04,"ORDER Setting Conditions of Release as to Liz Minerva Carranza (1) $25,000 Unsecured by Magistrate Judge Boyd N. Boland on 2/4/09. (lab, ) (Entered: 02/05/2009)"
12,2342265,386398627,8,2009-02-05,"NOTICE OF ATTORNEY APPEARANCE James R. Boma appearing for USA. Government's Notice of Reassignment (Boma, James) (Entered: 02/05/2009)"
13,2342265,386398629,9,2009-02-05,"MOTION to Withdraw as Attorney by Wayne Campbell by USA as to Liz Minerva Carranza, Victor Carranza. (Attachments: # 1 Proposed Order (PDF Only))(Campbell, Wayne) (Entered: 02/05/2009)"
14,2342265,386398632,15,2009-02-06,"MOTION to Withdraw as Attorney by Tim Neff by USA as to Liz Minerva Carranza, Victor Carranza. (Neff, Tim) (Entered: 02/06/2009)"
15,2342265,386398631,14,2009-02-06,"MINUTE ORDER by Magistrate Judge Boyd N. Boland on 2/6/09, granting 9 Motion to Withdraw as Attorney. Wayne Campbell withdrawn from case as to Liz Minerva Carranza (1), Victor Carranza (2).TEXT ONLY ENTRY - NO DOCUMENT ATTACHED (tllsl, ) (Entered: 02/06/2009)"
16,2342265,386398633,16,2009-02-10,"MINUTE ORDER by Magistrate Judge Kathleen M. Tafoya on 2/10/09, Granting 15 Motion to Withdraw as Attorney. Tim Neff withdrawn from case as to Liz Minerva Carranza (1), Victor Carranza (2).TEXT ONLY ENTRY - NO DOCUMENT ATTACHED (tllsl, ) (Entered: 02/10/2009)"
17,2342265,386398635,,2009-02-26,"MAGISTRATE CASE TERMINATED as to Liz Minerva Carranza, Victor Carranza. See 09-cr-00102-MSK for more information. TEXT ONLY ENTRY - NO DOCUMENT ATTACHED (kltsl, )"
18,2342265,386398636,17,2009-02-27,"Arrest Warrant Returned Unexecuted as to Victor Carranza. (tllsl, ) (Entered: 03/02/2009)"
541,76,54880292,1,2019-01-18,"NOTICE OF INTERLOCUTORY APPEAL, with district court docket, on behalf of Appellant Mohamed Hamdoun, Georges Zard Abou Joude and Ahmad Safa, FILED. [2479460] [19-210] [Entered: 01/22/2019 02:57 PM]"
542,76,54880294,3,2019-01-18,"PAYMENT OF DOCKETING FEE, on behalf of Appellant Mohamed Hamdoun, Georges Zard Abou Joude and Ahmad Safa, district court receipt # ANYSDC-16213706, FILED.[2479482] [19-210] [Entered: 01/22/2019 03:07 PM]"
543,76,54880293,2,2019-01-18,"DISTRICT COURT OPINION AND ORDER, dated 12/12/2018, RECEIVED.[2479476] [19-210] [Entered: 01/22/2019 03:06 PM]"
544,76,54880295,4,2019-01-18,"ELECTRONIC INDEX, in lieu of record, FILED.[2479484] [19-210] [Entered: 01/22/2019 03:09 PM]"
545,76,55635561,9,2019-02-04,"ACKNOWLEDGMENT AND NOTICE OF APPEARANCE, on behalf of Appellant Mohamed Hamdoun, Georges Zard Abou Joude and Ahmad Safa, FILED. Service date 02/04/2019 by CM/ECF.[2489004] [19-210] [Entered: 02/04/2019 06:06 PM]"
546,76,55635562,10,2019-02-04,"MOTION, to withdraw appeal, on behalf of Appellant Mohamed Hamdoun, Georges Zard Abou Joude and Ahmad Safa, FILED. Service date 02/04/2019 by CM/ECF. [2489005] [19-210] [Entered: 02/04/2019 06:10 PM]"
547,76,55635563,14,2019-02-05,"MOTION ORDER, granting motion to withdraw appeal [10] filed by Appellants Georges Zard Abou Joude, Mohamed Hamdoun and Ahmad Safa, FILED. [2489987][14] [19-210] [Entered: 02/05/2019 04:28 PM]"
548,76,55635564,15,2019-02-05,"CERTIFIED COPY OF ORDER, dated 02/05/2019, determining the appeal to SDNY, ISSUED.[Mandate][2489990] [19-210] [Entered: 02/05/2019 04:30 PM]"
549,76,55635565,16,2019-02-05,"NEW CASE MANAGER, Yenni Liu, ASSIGNED.[2489994] [19-210] [Entered: 02/05/2019 04:30 PM]"
550,2690,61143272,435,2013-05-31,"MOTION, to recall mandate, to allow filing of petition for rehearing en banc, and to overrule notice of defective filing, on behalf of Appellant Ellen Mariani in 11-175, 11-640, FILED. Service date 05/31/2013 by CM/ECF. [953361] [11-175, 11-640]--[Edited 05/31/2013 by AG] [Entered: 05/31/2013 04:35 PM]"
551,2690,61143275,436,2013-05-31,"CERTIFICATE OF SERVICE, for Emergency Motion for Order Overruling Notice of Defective Filing, etc., on behalf of Appellant Ellen Mariani in 11-175, 11-640, FILED. Service date 05/31/2013 by CM/ECF.[953368] [11-175, 11-640] [Entered: 05/31/2013 04:36 PM]"
552,2690,61143277,441,2013-06-14,"MOTION ORDER, denying motion to recall mandate [435] filed by Appellant Ellen Mariani in 11-175; denying motion to allow late filing of petition for rehearing en banc [435] filed by Appellant Ellen Mariani in 11-175, by PWH, SLC, FILED. [966052][441] [11-175, 11-640] [Entered: 06/14/2013 04:40 PM]"
553,2690,61143279,444,2013-06-20,"MOTION, for order limiting consideration of motion to court: three judge panel (FRAP 27(c)), on behalf of Appellant Ellen Mariani in 11-175, 11-640, FILED. Service date 06/20/2013 by CM/ECF. [970796] [11-175, 11-640]--[Edited 06/20/2013 by AG] [Entered: 06/20/2013 01:20 PM]"
554,2690,61143281,445,2013-06-20,"MOTION, to reconsider and modify rulings denying recognition of filing of petition (FRAP 27(b)), to vacate 06/14/2013 order, on behalf of Appellant Ellen Mariani in 11-175, 11-640, FILED. Service date 06/20/2013 by CM/ECF. [970800] [11-175, 11-640]--[Edited 06/20/2013 by AG] [Entered: 06/20/2013 01:22 PM]"
555,2690,61143284,446,2013-06-20,"CERTIFICATE OF SERVICE, for Motion for Order Limiting Consideration of Motions to Court: Three Judge Panel [FRAP 27(c)], on behalf of Appellant Ellen Mariani in 11-175, 11-640, FILED. Service date 06/20/2013 by CM/ECF.[970808] [11-175, 11-640] [Entered: 06/20/2013 01:26 PM]"
556,2690,61143286,447,2013-06-20,"CERTIFICATE OF SERVICE, for Motion for Order Vacating Order of 6/14/2013, and for Reconsideration (etc) [FRAP 27(b)], on behalf of Appellant Ellen Mariani in 11-175, 11-640, FILED. Service date 06/20/2013 by CM/ECF.[970812] [11-175, 11-640] [Entered: 06/20/2013 01:28 PM]"
557,2690,61143289,451,2013-06-20,"STRIKE ORDER, striking Appellant Ellen Mariani in 11-175 petition for rehearing/rehearing en banc [433], [432] from the docket, FILED.[971089] [11-175, 11-640] [Entered: 06/20/2013 03:26 PM]"
558,2690,61143291,453,2013-07-08,"MOTION ORDER, denying motion for determination by a fully constituted three-judge panel [444] filed by Appellant Ellen Mariani; granting motion to reconsider 05/15/2013 opinion [445] filed by Appellant Ellen Mariani; granting motion to vacate that portion of the Court's 06/20/2013 order striking Appellantâ€™s Petition for Rehearing En Banc to the extent that petition seeks en banc reconsideration only of the May 15, 2013 opinion and order imposing sanctions [445] filed by Appellant Ellen Mariani, by PWH, SLC, FILED. [983726][453] [11-175, 11-640] [Entered: 07/08/2013 04:29 PM]"
559,2690,61143292,457,2013-07-30,"ORDER, petition for rehearing/rehearing en banc of the Courtâ€™s opinion and order dated May 15, 2013 denied, FILED.[1003112] [11-175, 11-640] [Entered: 07/30/2013 03:40 PM]"
560,3695,100220867,10010218953,2019-08-27,[10673819] Prisoner case docketed. DATE RECEIVED: 08/27/2019. Notice of appearance due on 09/26/2019 for Blaine Baughman. [19-1306] [Entered: 08/27/2019 11:09 AM]
561,3695,358170881,10010263593,2019-11-20,
562,4196,86080529,11010370845,2018-11-08,"ORDER: Motion to seal documents filed by Appellee USA is HELD in abeyance pending an order on the Appellant's motion in the district court. If the Appellant does not file in the district court a motion to obtain a copy of Document 18 within 14 days after the date of this order, the Court will assume that the Appellant does not wish to obtain a copy of Document 18, and that he does not object to the Appellee filing an ex parte brief. [8572058-2] RSR [Entered: 11/08/2018 03:03 PM]"
563,4196,86080530,11010388631,2018-11-21,USDC order: ORDER GRANTING in part and DENYING in part 42 Defendant's Motion to Obtain Copy of Document 18 And/Or Unopposed Motion to Unseal. as to Appellant Jose Miguel Cordero was filed on 11/20/2018. Docket Entry 43. [Entered: 11/21/2018 09:34 AM]
564,4196,86080531,11010394465,2018-11-26,Certificate of Readiness filed as to Appellant Jose Miguel Cordero. [Entered: 11/27/2018 03:10 PM]
565,4196,86080532,,2018-11-26,Record on Appeal filed. Order DE 43 and Sealed Pleading S-18. [Entered: 11/27/2018 03:12 PM]
566,4196,86080533,11010399066,2018-11-29,"ORDER: Before the Court is the Appelleeâ€™s Motion to File its Brief Under Seal. In light of the district courtâ€™s November 20, 2018 order, the Appelleeâ€™s motion is GRANTED and the Appellee is DIRECTED to serve the Appellant with an unredacted copy of its response brief within 7 days after the date of this order. [8572058-2] RSR [Entered: 11/29/2018 01:45 PM]"
567,4196,86080534,11010399076,2018-11-29,"Appellee's SEALED Brief filed by Appellee USA. Service date: 09/24/2018 US mail - Appellant Cordero; email - Attorney for Appellees: Rhodes, U.S. Attorney Service - Middle District of Florida. [Entered: 11/29/2018 01:50 PM]"
568,4196,86080535,11010399094,2018-11-29,"Appellee's REDACTED Brief filed by Appellee USA. Service date: 09/24/2018 US mail - Appellant Cordero; email - Attorney for Appellees: Rhodes, U.S. Attorney Service - Middle District of Florida. [Entered: 11/29/2018 01:52 PM]"
569,4196,86080536,11010421466,2018-12-10,Reply Brief filed by Appellant Jose Miguel Cordero. Service 12/10/2018 US mail - Attorney for Appellee: Rhodes. [Entered: 12/14/2018 03:57 PM]
570,4196,86080537,11010479441,2019-01-28,"Supplemental Authority filed by Appellant Jose Miguel Cordero. Service date: 01/16/2019 US mail - Appellant Cordero; email - Attorney for Appellees: Rhodes, U.S. Attorney Service - Middle District of Florida. [Entered: 01/28/2019 04:22 PM]"
571,4196,86080538,11010487454,2019-02-04,Response to Supplemental Authority (28J) filed by Appellee USA. [18-10837] (ECF: Yvette Rhodes) [Entered: 02/04/2019 09:58 AM]
572,4196,87220880,11010686545,2019-06-18,CJA appointment issued by this court to Attorney Darlene Calzon Barror for Appellant Jose Miguel Cordero. [Entered: 06/18/2019 12:09 PM]
573,4196,87220879,11010686524,2019-06-18,ORDER: The Courtâ€™s sua sponte motion to appoint counsel for appellant is GRANTED. The following attorney is appointed to represent the appellant: Darlene C. Barror. CRW [Entered: 06/18/2019 12:05 PM]
574,4196,112798689,11010729035,2019-07-17,APPEARANCE of Counsel Form filed by Darlene Calzon Barror for Jose Miguel Cordero. [18-10837] (ECF: Darlene Barror) [Entered: 07/17/2019 01:28 PM]
575,4196,112798690,11010823188,2019-09-19,Briefing Notice issued to Attorney Darlene Calzon Barror for Appellant Jose Miguel Cordero. The appellant's brief is due on or before 10/29/2019. The appendix is due no later than 7 days from the filing of the appellant's brief. [Entered: 09/19/2019 08:33 AM]
576,4196,112798691,,2019-10-15,Appellant's brief is currently due on 10/29/2019. Over the phone 14 day extension granted by clerk as to Attorney Darlene Calzon Barror for Appellant Jose Miguel Cordero. Appellant's brief is now due on 11/12/2019; Appendix due on 11/19/2019 as to Appellant Jose Miguel Cordero. [Entered: 10/15/2019 11:29 AM]
577,4196,112798692,11010896739,2019-11-07,"TIME SENSITIVE MOTION for extension of time to file appellant's brief to 12/13/2019, to file a supplement brief filed by Jose Miguel Cordero. Motion is Unopposed. [8927393-1] [18-10837] (ECF: Darlene Barror) [Entered: 11/07/2019 12:42 PM]"
578,4196,112798693,11010900356,2019-11-12,"ORDER: The motion for extension of time to and including December 13, 2019 in which to file Appellantâ€™s brief is GRANTED, with the appendix due seven (7) days from the filing of the brief. [8927393-2] [8927393-3] KCN [Entered: 11/12/2019 10:15 AM]"
579,4196,112798694,11010948676,2019-12-13,Appellant's Supplemental Brief filed by Appellant Jose Miguel Cordero. [18-10837] (ECF: Darlene Barror) [Entered: 12/13/2019 01:51 PM]
580,4196,114714899,,2019-12-16,Received paper copies of EBrief filed by Appellant Jose Miguel Cordero. [Entered: 12/17/2019 11:45 AM]
